  140181459947648,36000
  140181459947712,18720
  140181459947856,9090
  140181459947872,9090
  140181459947888,9090
  140181459947904,9090
  140181459947920,9090
  140181459947936,9090
  140181459947952,9090
  140181459947968,9090
  140181459948048,9000
  140181459948064,9000
  140181459948080,360
  140181459948096,27360
  140181459948112,27360
  140181459948128,27360
  140181459948160,27090
  140181459948176,72720
  140181459950112,3000
  140181459950144,3000
  140181459950256,1500
  140181459950272,1500
  140181459950288,3000
