100 , 37,786 , 0.009211448
200 , 42,258 , 0.009880459
300 , 50,234 , 0.013031109
400 , 63,473 , 0.015172632
500 , 73,583 , 0.019252116
600 , 76,428 , 0.022054129
700 , 72,858 , 0.026374484
800 , 82,099 , 0.028013700
900 , 78,500 , 0.030129795
1000 , 82,542 , 0.030586657
1100 , 67,530 , 0.030388688
1200 , 64,933 , 0.034058064
1300 , 62,714 , 0.036545671
1400 , 66,381 , 0.041141387
1500 , 58,197 , 0.048430805
1600 , 56,207 , 0.064980223
1700 , 60,652 , 0.065626022
1800 , 62,223 , 0.074327201
1900 , 58,996 , 0.084377452
2000 , 60,696 , 0.094800185
