1,3,873
2,4,138
3,4,046
4,3,885
5,4,237
6,4,597
7,4,162
8,3,819
9,4,082
10,4,301
11,4,311
12,4,524
13,4,267
14,4,372
15,4,109
16,3,981
17,4,113
18,4,258
19,4,244
20,4,280
21,4,199
22,3,850
23,3,778
24,4,064
25,4,054
26,3,677
27,3,999
28,3,827
29,3,635
30,3,961
31,3,751
32,3,559
33,3,750
34,3,837
35,3,479
36,3,820
37,3,681
38,3,580
39,3,427
40,3,697
41,3,827
42,3,443
43,3,444
44,3,396
45,3,483
46,3,503
47,3,337
48,3,643
49,3,264
50,3,437
51,3,295
52,3,191
53,3,273
54,3,237
55,3,235
56,3,657
57,3,176
58,3,246
59,3,204
60,3,526
61,3,108
62,3,581
63,3,546
64,3,014
65,3,396
66,3,793
67,3,224
68,3,501
69,3,023
70,2,977
71,3,518
72,3,602
73,3,638
74,3,117
75,3,025
76,3,159
77,3,107
78,3,151
79,3,139
80,3,564
81,3,604
82,3,169
83,3,072
84,3,118
85,3,083
86,3,219
87,3,153
88,3,731
89,3,121
90,3,115
91,3,137
92,3,167
93,3,129
94,3,050
95,3,137
96,3,483
97,3,206
98,3,153
99,3,166
100,3,142
101,3,177
102,3,242
103,3,178
104,3,141
105,3,096
106,3,024
107,3,081
108,3,142
109,3,137
110,3,233
111,3,119
112,3,488
113,3,153
114,3,155
115,3,260
116,3,088
117,3,134
118,3,162
119,3,158
120,3,549
121,3,105
122,3,189
123,3,241
124,3,759
125,3,163
126,3,570
127,3,351
128,3,082
