100 , 41,226 , 0.055275850
200 , 42,368 , 0.062604778
300 , 42,160 , 0.086694872
400 , 41,381 , 0.120556124
500 , 40,841 , 0.154008206
600 , 35,244 , 0.184164514
700 , 37,645 , 0.231190219
800 , 60,111 , 0.327590477
900 , 56,731 , 0.391624643
1000 , 67,570 , 0.487130756
1100 , 44,743 , 0.530318347
1200 , 46,133 , 0.618167597
1300 , 50,900 , 0.701163333
1400 , 48,014 , 0.797105665
1500 , 46,705 , 0.952676353
1600 , 38,344 , 1.091595883
1700 , 46,061 , 1.188981386
1800 , 45,226 , 1.351749617
1900 , 60,318 , 1.565545945
2000 , 66,369 , 1.773942109
