100 , 36,587 , 0.009906151
200 , 41,242 , 0.009910044
300 , 51,580 , 0.012256589
400 , 63,729 , 0.016158961
500 , 73,796 , 0.018969541
600 , 75,139 , 0.023103858
700 , 72,160 , 0.025779506
800 , 89,672 , 0.026720084
900 , 81,733 , 0.027746715
1000 , 85,979 , 0.032704435
1100 , 68,420 , 0.031093839
1200 , 65,053 , 0.033455467
1300 , 68,338 , 0.037091956
1400 , 68,331 , 0.041584546
1500 , 65,439 , 0.048793346
1600 , 58,859 , 0.064080733
1700 , 65,595 , 0.064128990
1800 , 65,556 , 0.074016691
1900 , 65,464 , 0.086185714
2000 , 66,274 , 0.093595776
