100 , 41,437 , 0.055711641
200 , 43,215 , 0.063429987
300 , 40,714 , 0.090441223
400 , 39,432 , 0.122744023
500 , 35,970 , 0.150422468
600 , 34,511 , 0.183903476
700 , 39,255 , 0.233837508
800 , 55,354 , 0.323909424
900 , 53,460 , 0.398353583
1000 , 57,878 , 0.483085289
1100 , 44,943 , 0.540881929
1200 , 44,057 , 0.628706651
1300 , 46,590 , 0.714724419
1400 , 42,960 , 0.802595694
1500 , 41,031 , 0.951815322
1600 , 34,917 , 1.101477214
1700 , 41,506 , 1.192939067
1800 , 41,033 , 1.358538397
1900 , 56,135 , 1.557652377
2000 , 62,653 , 1.781897846
